Designator,Mid X,Mid Y,Rotation,Layer
BT1,21.7999,-17.4701,0.0,bottom
C1,39.57,-40.8,270.0,top
C2,39.57,-43.0,90.0,top
C3,35.7,-38.45,90.0,top
C4,36.82,-45.05,0.0,top
R1,34.1,-38.45,270.0,top
R2,33.3,-36.2,270.0,top
R3,34.9,-36.2,270.0,top
R4,34.07,-43.0,90.0,top
SW1,36.9056,-17.8321,180.0,top
SW2,36.9,-24.6,0.0,top
SW3,36.9,-30.6,0.0,top
U1,21.7291,-30.3825,0.0,top
U2,36.82,-47.15,270.0,top
U3,36.82,-41.9,90.0,top
X1,38.435961,-37.65,180.0,top
